                   N             lambda1             lambda2            lambda 3             CPUtime        # Iterations
                 246       9.86947134891       39.4762888039       88.8156628481            6370.795               92250
                 247       9.86947241979       39.4763059366       88.8157495781            6409.237               92180
                 248       9.86947347771       39.4763228636       88.8158352651            6557.714               92741
                 249       9.86947452299       39.4763395875       88.8159199264            6623.115               93851
                 250       9.86947555583       39.4763561121       88.8160035776            6724.077               94247
                 251       9.86947657636       39.4763724403       88.8160862351            6873.629               95925
                 252       9.86947758483       39.4763885753       88.8161679144             6999.41               95955
                 253       9.86947858143       39.4764045202        88.816248631            7069.622               96887
                 254       9.86947956633       39.4764202778       88.8163283999            7151.001               97339
                 255       9.86948053966       39.4764358511       88.8164072359            7297.698               98104
                 256       9.86948150169        39.476451243       88.8164851535           10643.375               98741
                 257       9.86948245254       39.4764664563       88.8165621668            7715.243               99889
                 258       9.86948339239       39.4764814937       88.8166382899            7790.026              100518
                 259       9.86948432145       39.4764963579       88.8167135364            7892.397              101079
                 260       9.86948523995       39.4765110517       88.8167879194            8072.603              103273
                 261       9.86948614771       39.4765255774        88.816861453            8007.005              103578
                 262       9.86948704528       39.4765399378        88.816934149            8090.885              103721
                 263       9.86948793263       39.4765541354       88.8170060206            8274.461              105407
                 264       9.86948881023       39.4765681722       88.8170770802             8384.48              105293
                 265       9.86948967751       39.4765820516       88.8171473398            8473.079              106424
                 266       9.86949053519        39.476595775       88.8172168117             8651.02              107794
                 267       9.86949138335       39.4766093452       88.8172855073            8740.357              108212
                 268       9.86949222237       39.4766227639       88.8173534383            8979.146              109602
                 269       9.86949305148       39.4766360345       88.8174206159            8936.659              109011
                 270       9.86949387174       39.4766491581       88.8174870512            9201.687              111277
                 271       9.86949468297       39.4766621373       88.8175527552            9262.735              111372
                 272       9.86949548525        39.476674974       88.8176177386            9551.474              112172
                 273       9.86949627881       39.4766876707       88.8176820116            9547.638              113192
                 274       9.86949706372       39.4767002288       88.8177455851            9687.097              113876
                 275       9.86949784012       39.4767126508       88.8178084687             9885.26              115466
                 276       9.86949860824       39.4767249383       88.8178706725           10003.923              115089
                 277       9.86949936785       39.4767370938       88.8179322063           10156.111              117193
                 278       9.86950011943       39.4767491187       88.8179930796           10285.716              117702
                 279       9.86950086297        39.476761015        88.818053302             10451.1              118909
                 280       9.86950159858       39.4767727845       88.8181128826           10626.594              118920
                 281       9.86950232636        39.476784429       88.8181718305           10782.777              120499
                 282       9.86950304646       39.4767959503       88.8182301546           10653.841              120400
                 283       9.86950375899       39.4768073501       88.8182878638           11069.961              121841
                 284        9.8695044642       39.4768186299       88.8183449666           11647.959              122826
                 285       9.86950516164        39.476829792       88.8184014715           11471.474              123941
                 286       9.86950585201       39.4768408375       88.8184573867           11576.204              124472
                 287       9.86950653516       39.4768517681       88.8185127207           11650.306              125007
                 288       9.86950721126       39.4768625854       88.8185674812           12035.481              125991
                 289       9.86950788071       39.4768732906       88.8186216762           12031.953              127218
                 290        9.8695085426       39.4768838864       88.8186753135           12225.337              128193
                 291       9.86950919805       39.4768943732       88.8187284007           12324.944              128542
                 292       9.86950984679       39.4769047528       88.8187809453           12603.028              129760
                 293       9.86951048892       39.4769150266       88.8188329547           12678.533              130604
                 294       9.86951112452       39.4769251962       88.8188844361             12896.2              131766
                 295       9.86951175371       39.4769352628       88.8189353966           12790.732              132839
                 296       9.86951237657        39.476945228       88.8189858433           13680.216              133748
                 297       9.86951299313        39.476955093        88.819035783           13342.333              133432
                 298       9.86951360357       39.4769648591       88.8190852224           13662.074              135056
                 299       9.86951420784       39.4769745279       88.8191341683           13861.923              136726
                 300       9.86951480613       39.4769841003       88.8191826273           14073.522              137309
